[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> java.vm.specification.name=Java Virtual Machine Specification.
[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> LibraryDirectory=/Users/zhangyuhao/Library.
[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> native.encoding=UTF-8.
[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> java.library.path=/Users/zhangyuhao/Library/Application....
[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> java.vm.info=mixed mode, sharing.
[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> java.vendor=Azul Systems, Inc..
[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> java.vm.version=17.0.1+12-LTS.
[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> sun.io.unicode.encoding=UnicodeBig.
[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> socksNonProxyHosts=127.0.0.1|192.168.0.0/16|*.192.168.0.....
[05-03-26 23:55:49.923] LOG  : General     , 1772726149923> java.class.version=61.0.
[05-03-26 23:55:49.924] LOG  : General     , 1772726149924> http.proxyPort=6789.
[05-03-26 23:55:49.924] LOG  : General     , 1772726149924> -----.
[05-03-26 23:55:49.925] LOG  : General     , 1772726149925> version=41.78.16 demo=false.
