DEBUG: General     , 1772727682075> LoggerManager.init                  > Initializing...
LOG  : General     , 1772727682308> unknown option "-Dzomboid.steam=1"
LOG  : General     , 1772727682308> unknown option "-Dzomboid.znetlog=1"
LOG  : General     , 1772727682308> unknown option "-Djava.library.path=/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java:/Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/MacOS"
LOG  : General     , 1772727682308> unknown option "-Xmx3072m"
LOG  : General     , 1772727682308> unknown option "-XX:+UseZGC"
LOG  : General     , 1772727682308> unknown option "-XX:-OmitStackTraceInFastThrow"
LOG  : General     , 1772727682308> unknown option "zombie.gameStates.MainScreenState"
LOG  : General     , 1772727682346> LightingFPS set to 15
LOG  : General     , 1772727682347> [javafmodJNI] Init: Start
LOG  : General     , 1772727682366> 1772727682357 fmod: Java loging: OK
LOG  : General     , 1772727682367> 1772727682367 fmod: FMOD::Studio::System::create() result: No errors.
LOG  : General     , 1772727682367> 1772727682367 fmod: FMOD::Studio::System::getCoreSystem() result: No errors.
LOG  : General     , 1772727682367> 1772727682367 fmod: FMOD_System_GetVersion() result: No errors.
LOG  : General     , 1772727682367> 1772727682367 fmod: fmodintegration built with version 20206, fmod shared library version 20206
LOG  : General     , 1772727682368> 1772727682368 fmod: System Create: OK
LOG  : General     , 1772727682369> 1772727682369 fmod: FMOD_System_SetSoftwareFormat() result: No errors.
LOG  : General     , 1772727682384> closest width=800 freq=60
LOG  : General     , 1772727682384> closest width=800 freq=75
LOG  : General     , 1772727682385> closest width=800 freq=120
LOG  : General     , 1772727682385> closest width=800 freq=144
LOG  : General     , 1772727682385> closest width=1024 freq=60
LOG  : General     , 1772727682385> closest width=1024 freq=120
LOG  : General     , 1772727682385> closest width=1024 freq=144
LOG  : General     , 1772727682385> closest width=1280 freq=50
LOG  : General     , 1772727682385> closest width=1280 freq=60
LOG  : General     , 1772727682385> closest width=1280 freq=120
LOG  : General     , 1772727682385> closest width=1280 freq=144
LOG  : General     , 1772727682385> closest width=1344 freq=60
LOG  : General     , 1772727682386> closest width=1344 freq=120
LOG  : General     , 1772727682386> closest width=1344 freq=144
LOG  : General     , 1772727682386> closest width=1600 freq=60
LOG  : General     , 1772727682386> closest width=1600 freq=120
LOG  : General     , 1772727682386> closest width=1600 freq=144
LOG  : General     , 1772727682386> closest width=1680 freq=60
LOG  : General     , 1772727682386> closest width=1920 freq=50
LOG  : General     , 1772727682386> closest width=1920 freq=60
LOG  : General     , 1772727682386> closest width=1920 freq=120
LOG  : General     , 1772727682386> closest width=1920 freq=144
LOG  : General     , 1772727682387> closest width=2048 freq=60
LOG  : General     , 1772727682387> closest width=2048 freq=120
